num_adj,num_adv,num_det,num_intj,num_num,num_punct,num_sym,num_comp_sup,num_x,ADJ_NOUN,ADV_ADJ_NOT(NOUN),ADJ_ADJ_NOT(NOUN),NOUN_ADJ_NOT(NOUN),ADV_VERB_PCP_GER_PS_IMPF,num_positive_terms,num_negative_terms,prop_subjective,prop_positive,uppercase_ratio,num_mentions,num_elongated,polarity_emoticons,rating,id
3,5,4,0,0,0,0,0,0,1,0,2,0,0,1,1,0.083,0.028,0.019,0,0,0,5,17578
5,3,7,0,0,0,0,0,0,1,1,0,0,0,1,1,0.051,0.026,0.025,0,0,0,1,18658
9,3,5,0,0,0,0,0,0,0,1,0,0,0,4,1,0.094,0.075,0.012,0,0,0,2,28477
3,6,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0.095,0.095,0.018,0,0,0,2,43638
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.036,0,0,0,1,26130
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.011,0,0,0,1,18681
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.167,0.0,0.029,0,0,0,3,39796
2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0.071,0.071,0.029,0,0,0,3,29751
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.029,0,0,0,4,40582
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.028,0,0,0,1,25477
2,3,1,0,0,1,0,0,0,1,0,2,0,0,1,0,0.056,0.056,0.011,0,0,0,4,2765
2,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.025,0,0,0,3,2304
1,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.011,0,0,0,3,1980
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.029,0,0,0,2,10618
1,3,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0.059,0.059,0.031,0,0,0,3,39488
3,0,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0.091,0.045,0.008,0,0,0,1,14277
7,11,6,0,0,0,0,0,0,1,0,3,0,0,1,0,0.02,0.02,0.0,0,0,0,5,35780
3,9,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0.077,0.077,0.005,0,0,0,1,10293
3,2,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0.1,0.1,0.009,0,0,0,4,7589
2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.143,0.143,0.154,0,0,0,2,5850
3,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.025,0,0,0,3,44046
2,2,0,0,1,0,0,1,0,1,0,0,0,0,2,0,0.154,0.154,0.013,0,0,0,4,12228
3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0.0,0.042,0,0,0,5,17605
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,0.333,0,0,0,4,40626
3,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.053,0.053,0.08,0,0,0,3,20962
2,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.009,0,0,0,1,46273
1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.009,0,0,0,3,40114
1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0.333,0.333,0.03,0,0,0,4,44875
1,3,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.019,0,0,1.0,4,41158
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.045,0,0,0,5,9561
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.065,0,0,0,5,35878
3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.053,0.0,0.04,0,0,0,2,14961
2,7,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0.043,0.022,0.011,0,0,1.0,1,26224
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.031,0,1,0,5,17061
0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.008,0,0,-1.0,1,46427
0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.228,0,0,0,2,10972
2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0.333,0.333,0.048,0,0,0,4,21462
2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.091,0.091,0.014,0,0,0,2,19413
1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0.143,0.143,0.042,0,0,0,4,22454
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.026,0,0,0,4,33220
1,7,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.023,0,0,0,4,44617
2,4,15,0,0,0,0,0,0,1,1,0,1,0,1,1,0.033,0.016,0.01,0,0,0,3,20718
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.033,0,0,0,2,6091
4,2,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0.032,0.032,0.012,0,0,0,2,43676
6,2,1,0,0,0,0,0,0,1,0,2,0,0,5,0,0.217,0.217,0.037,0,0,0,5,42112
0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.018,0,0,0,3,44379
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.143,0,0,0,5,35371
2,6,6,0,0,1,0,0,0,1,0,0,0,0,1,0,0.02,0.02,0.015,0,0,0,4,40480
1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.111,0.111,0.024,0,0,0,4,48956
1,4,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0.033,0.033,0.012,0,1,0,5,35153
0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.039,0,0,0,4,41371
1,3,6,0,0,0,0,0,0,0,0,0,0,0,1,2,0.07,0.023,0.004,0,0,1.0,2,27279
3,0,1,0,0,0,0,0,0,1,0,2,0,0,1,1,0.25,0.125,0.043,0,0,0,5,50317
0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.019,0,0,0,3,6581
2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.012,0,0,0,1,43269
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.028,0,0,0,5,35895
1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.012,0,0,1.0,4,41218
2,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0.067,0.067,0.013,0,0,0,2,46717
1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077,0.0,0.114,0,0,0,2,38118
5,15,16,0,0,0,0,1,0,2,0,1,0,0,3,1,0.04,0.024,0.008,0,0,0,3,29687
0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0,0,0,2,38549
2,1,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0.048,0.048,0.026,0,0,0,3,39550
2,3,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0.04,0.04,0.015,0,0,0,4,33138
8,9,20,0,0,0,0,2,1,1,0,0,0,1,6,0,0.05,0.05,0.023,0,0,1.0,4,12417
2,3,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0.028,0.028,0.011,0,0,0,2,28898
2,3,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0.029,0.0,0.031,0,0,0,1,36335
1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.08,0,0,0,1,36286
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.021,0,0,0,3,20396
3,9,10,0,0,0,0,0,0,0,0,2,0,0,0,1,0.016,0.0,0.023,0,0,0,3,20753
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.125,0.0,0.022,0,0,0,1,18409
1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.333,0.333,0.045,0,0,0,3,6885
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1.0,1.0,0.048,0,0,0,4,2712
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0.0,0.006,0,0,0,1,5216
